Name,RollNo,Mathematics,Science,English,Social Studies,Total Marks,Rank
Suresh Mehta,1015,93,85,85,86,349,1
Reyansh Das,1023,49,97,94,96,336,2
Kabir Chopra,1048,93,88,99,51,331,3
Arjun Reddy,1009,70,88,80,83,321,4
Vihaan Reddy,1016,85,48,96,86,315,5
Riya Reddy,1033,59,79,92,79,309,6
Shreya Agarwal,1046,99,65,76,68,308,7
Ravi Patel,1022,79,81,95,50,305,8
Anjali Rao,1038,60,96,57,90,303,9
Karan Agarwal,1029,,99,77,63,302,10
Pari Roy,1039,77,46,85,94,302,10
Sai Das,1035,64,95,60,78,297,12
Amit Gupta,1012,97,58,68,71,294,13
Aditya Khan,1007,98,45,56,92,291,14
Aryan Gupta,1025,48,78,68,96,290,15
Vikram Kumar,1006,51,66,85,85,287,16
Deepak Kumar,1028,68,81,56,80,285,17
Manoj Bhatt,1049,54,100,37,91,282,18
Ananya Malhotra,1042,53,95,79,54,281,19
Reyansh Chopra,1004,94,80,56,,279,20
Meera Malhotra,1030,59,65,86,64,274,21
Krishna Nair,1018,91,55,49,78,273,22
Suresh Verma,1005,98,42,62,71,273,22
Arjun Agarwal,1003,71,84,79,37,271,24
Neha Chopra,1032,38,70,95,68,271,24
Amit Kumar,1024,96,74,45,53,268,
Vihaan Das,1014,75,51,100,41,267,27
Amit Nair,1021,61,83,54,67,265,28
Sara Verma,1044,52,90,59,62,263,29
Aadhya Das,1013,35,53,88,82,258,30
Karan Malhotra,1037,79,45,50,84,258,30
Rohan Singh,1001,43,46,69,95,253,32
Riya Kapoor,1036,61,96,,96,253,32
Zara Verma,1002,43,42,74,92,251,34
Meera Joshi,1008,86,70,,90,246,35
Sneha Khan,1045,38,67,62,72,239,36
Vikram Joshi,1041,,38,54,94,237,37
Diya Reddy,1034,81,45,63,48,237,37
Ravi Khan,1026,55,37,61,81,234,39
Meera Verma,1011,54,64,64,36,218,40
Dhruv Gupta,1020,47,81,38,44,210,41
Amit Verma,1027,53,38,73,46,210,41
Amit Malhotra,1047,88,,42,80,210,41
Aditya Agarwal,1017,42,59,43,61,205,44
Suresh Rao,1050,58,35,54,57,204,45
Arjun Gupta,1040,86,45,,56,187,46
Sara Singh,1019,41,48,35,54,178,47
Neha Das,1031,60,,80,38,178,47
Ishaan Bhatt,1043,51,37,36,48,172,49
Sai Agarwal,1010,,54,45,57,156,50
